country,year,gini,gini_se,welfare_def,equiv_scale,monetary,series,source1,page,link,,
Iceland,2001,0.325,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2002,0.329,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2003,0.352,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2004,0.352,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2005,0.389,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2006,0.403,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2007,0.441,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
Iceland,2008,0.373,,net,oecdm,,,Olafsson and Kristjansson 2010,15,http://www.lisdatacenter.org/conference/papers/olafsson-kristjansson.pdf,,
New Zealand,1984,0.27,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1988,0.262,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1990,0.3,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1992,0.311,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1994,0.318,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1996,0.325,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,1998,0.327,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2001,0.334,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2004,0.329,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2007,0.32,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2009,0.329,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2010,0.324,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2011,0.351,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2012,0.324,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2013,0.334,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
New Zealand,2014,0.342,,net,sqrt,,,Perry 2015,75,http://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/monitoring/household-income-report/2015/incomes-report.doc,,
Russian Federation,1992,0.289,,gross,pc,TRUE,,,,http://www.gks.ru/bgd/regl/b15_11/IssWWW.exe/Stg/d01/07-10.htm,,
Russian Federation,1993,0.397,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1994,0.397,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1995,0.387,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1996,0.387,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1997,0.39,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1998,0.394,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,1999,0.4,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2000,0.395,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2001,0.397,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2002,0.397,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2003,0.403,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2004,0.409,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2005,0.409,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2006,0.415,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2007,0.422,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2008,0.421,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2009,0.421,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2010,0.421,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2011,0.417,,gross,pc,TRUE,,,,http://www.gks.ru/free_doc/new_site/population/urov/urov_32g.htm,,
Russian Federation,2012,0.42,,gross,pc,TRUE,,,,http://www.gks.ru/bgd/regl/b14_13/IssWWW.exe/Stg/d01/06-21.htm,,
Russian Federation,2013,0.419,,gross,pc,TRUE,,,,http://www.gks.ru/bgd/regl/b15_11/IssWWW.exe/Stg/d01/07-10.htm,,
Russian Federation,2014,0.416,,gross,pc,TRUE,,,,http://www.gks.ru/bgd/regl/b15_11/IssWWW.exe/Stg/d01/07-10.htm,,
